seed,epoch,train_loss,train_auc,train_bal_acc_0.5,val_loss,val_auc,val_bal_acc_0.5,val_acc_0.5,lr
42,1,0.6756028185288111,0.6253676700019314,0.5910801683165341,0.7754736542701721,0.4932563398916748,0.48977676642629114,0.5432989690721649,0.0001619584423659875
42,2,0.5761305590470632,0.7678699805905997,0.6931698247368958,0.8025484383106232,0.49058699687867335,0.4680357621930525,0.5025773195876289,0.00033077222021764166
42,3,0.4557157556215922,0.8695923371131784,0.7835836062993775,0.887498140335083,0.5118038294163216,0.503773174260961,0.5458762886597938,0.0005599549392189341
42,4,0.35508715113004047,0.9262196810681591,0.8395161508895254,0.8305085897445679,0.48931131488981616,0.46629786097005704,0.46855670103092784,0.0007863963580964344
42,5,0.31691528111696243,0.9438171795968529,0.8626359022433094,0.9445760548114777,0.5261407064304501,0.4974831139138764,0.55,0.0009477411097355026
42,6,0.2648957123359044,0.9615065208934609,0.8887103373618885,1.005232036113739,0.5097297687503165,0.5006335312579797,0.493298969072165,0.000999970282247575
42,7,0.26879362016916275,0.9602030567869585,0.8872357000867297,0.9141851365566254,0.517575643955433,0.4937562693197404,0.5118556701030927,0.0009949860608155464
42,8,0.21713002026081085,0.9749012590601497,0.909228285021646,1.0093175172805786,0.5160165967950645,0.4688987869169331,0.5097938144329897,0.0009815410457855273
42,9,0.18581889818112055,0.9824152558296528,0.9249596614947744,0.9784106314182281,0.5369651482387723,0.5077068862046413,0.5128865979381443,0.0009598652850923437
42,10,0.17594956854979196,0.9847349262843638,0.9274618502337693,1.0278860330581665,0.48966794558095783,0.4974136194136388,0.5092783505154639,0.0009303296570111116
42,11,0.1598706878721714,0.9878339506670529,0.9380098754035844,1.108213484287262,0.5259451521390838,0.4877097090820154,0.515979381443299,0.0008934395243271242
42,12,0.14169840763012567,0.9908705270920792,0.9451520883211985,1.3051106929779053,0.49877441869736067,0.49596339309860354,0.5164948453608248,0.000849826087438482
42,13,0.131854514280955,0.9923776338888768,0.9487318068188444,1.3558890223503113,0.50126975610124,0.49311250243769467,0.5175257731958763,0.0008002355843422784
42,14,0.1279145342608293,0.9928804773136406,0.9509571007157016,1.3274180889129639,0.5269439335611029,0.5124007279144862,0.5288659793814433,0.0007455165222955744
42,15,0.11939093035956223,0.9941978203257099,0.95560691841948,1.438757300376892,0.5087256001577364,0.4909199240193464,0.5051546391752577,0.0006866051596209795
1337,1,0.6792074739933014,0.6156648630637426,0.584553879875809,0.779912531375885,0.4350862108904885,0.44705758131125883,0.48350515463917526,0.0001619584423659875
1337,2,0.5887312293052673,0.7551049319281675,0.6883981004205294,0.7910281121730804,0.49657537567433907,0.47337229335083086,0.5005154639175258,0.00033077222021764166
1337,3,0.4835786744952202,0.8503311634981195,0.7628238809872602,0.8985306918621063,0.5318214777870796,0.5038022649819907,0.5304123711340206,0.0005599549392189341
1337,4,0.37562524030605954,0.9171206421090606,0.8341859109436038,0.8973459303379059,0.5318775043609145,0.5079078276665686,0.5484536082474227,0.0007863963580964344
1337,5,0.30748774359623593,0.945842916183823,0.8678861142845169,0.8767771124839783,0.49857563210365774,0.49071736640625085,0.5092783505154639,0.0009477411097355026
1337,6,0.28559527297814685,0.9550101681844352,0.8768284853106233,0.9703049957752228,0.4758875632857862,0.47951528394159876,0.49690721649484537,0.000999970282247575
1337,7,0.2517743955055873,0.9656692530683343,0.8967352344387718,0.9401068985462189,0.47466252070020293,0.46897474602184386,0.5082474226804123,0.0009949860608155464
1337,8,0.21065696701407433,0.9770907952023571,0.9147334418820332,0.9350147545337677,0.49478683504806975,0.46283552645046877,0.49690721649484537,0.0009815410457855273
1337,9,0.1986631229519844,0.9800351160509955,0.9224939422491765,1.0723169445991516,0.5066644687010777,0.4880895046065695,0.5082474226804123,0.0009598652850923437
1337,10,0.17437887315948805,0.9853462813984972,0.9324223276658431,1.0512492060661316,0.4865810968494749,0.47325054329615107,0.5005154639175258,0.0009303296570111116
2026,1,0.6801118006308874,0.6129180781869498,0.5821583950097662,0.7505388259887695,0.4580334026123467,0.4506556725289857,0.49948453608247423,0.0001619584423659875
2026,2,0.5864133387804031,0.7583874567946112,0.6939728226260495,0.77446448802948,0.4794732640112226,0.4623630715922645,0.48917525773195875,0.00033077222021764166
2026,3,0.468217837313811,0.8608861067685558,0.7705381183358477,0.8086609542369843,0.5620391948981339,0.5405815558364067,0.5376288659793814,0.0005599549392189341
2026,4,0.3739172965288162,0.9170394611875765,0.8274894315336934,0.8296992182731628,0.53728083643365,0.5147296017480291,0.5335051546391752,0.0007863963580964344
2026,5,0.32550633947054547,0.9391110064190863,0.8610582763714579,0.7403011620044708,0.5708418315948934,0.5206457924581767,0.5469072164948454,0.0009477411097355026
2026,6,0.28344735379020375,0.955355133720337,0.8828786489991473,1.1764634251594543,0.5388641258615433,0.5195112543380191,0.5675257731958763,0.000999970282247575
2026,7,0.2578134226302306,0.9635931396128506,0.8883567882566978,0.8683355152606964,0.547817064616956,0.508232135334344,0.5443298969072164,0.0009949860608155464
2026,8,0.20404858266313872,0.9788451315703166,0.91758883809162,0.8575698137283325,0.5276248719200198,0.5172599557605554,0.5216494845360825,0.0009815410457855273
2026,9,0.19482054188847542,0.9809236222332154,0.923856466436906,0.877753734588623,0.5550719672115251,0.5430359507440221,0.527319587628866,0.0009598652850923437
2026,10,0.1848117746412754,0.982745118269343,0.9216882397527841,1.0407021045684814,0.5103503707989496,0.49983515258083183,0.5293814432989691,0.0009303296570111116
2026,11,0.1609265903631846,0.9877478872177643,0.9350119748620707,0.9044274389743805,0.5429459849956526,0.5128370887299315,0.5298969072164949,0.0008934395243271242
