epoch,train_loss,val_loss,val_acc_0.5,lr
1,0.7158616781234741,0.7034829003470284,0.49686028257456827,0.001
2,0.7070499956607819,0.7089957169124058,0.4965463108320251,0.001
3,0.7046164790789287,0.7036446332931519,0.5047095761381476,0.001
4,0.7034732302029928,0.7039933034351894,0.5103610675039246,0.001
5,0.701621146996816,0.7052807807922363,0.5031397174254317,0.001
6,0.699104658762614,0.7065683943884713,0.5058084772370487,0.001
7,0.6937627534071604,0.7114340237208775,0.5131868131868131,0.0005
8,0.6943598886330923,0.71583810874394,0.5070643642072213,0.0005
9,0.6849083761374156,0.7224230595997402,0.5023547880690737,0.0005
10,0.6819957236448924,0.7305005618504116,0.5158555729984301,0.0005
11,0.6777282814184825,0.7363607287406921,0.5080062794348509,0.0005
12,0.6629787663618724,0.7498747621263776,0.5139717425431711,0.00025
13,0.6573893825213114,0.7475448250770569,0.5061224489795918,0.00025
